,Participant ID,Urban/Rural,Age Group,Marital Status,sex,Kids under 14,Feeling Rushed,Sleep duration,Work duration,Prov_ab,Employment Rate,Pct house over 30,region,Income
2371,22080,1,5,1,1,0,6,480,0,BC,59.6,20.7,British Columbia,69995.0
2372,22085,1,6,5,2,0,2,680,0,BC,59.6,20.7,British Columbia,69995.0
2373,22087,1,1,6,2,0,2,525,120,BC,59.6,20.7,British Columbia,69995.0
2374,22090,1,6,1,1,0,4,570,0,BC,59.6,20.7,British Columbia,69995.0
2375,22098,1,4,6,1,0,1,660,0,BC,59.6,20.7,British Columbia,69995.0
2376,22103,1,5,1,2,0,3,480,0,BC,59.6,20.7,British Columbia,69995.0
2377,22114,1,1,6,1,0,3,480,0,BC,59.6,20.7,British Columbia,69995.0
2378,22115,2,4,4,1,0,1,690,0,BC,59.6,20.7,British Columbia,69995.0
2379,22117,1,7,1,2,0,6,630,0,BC,59.6,20.7,British Columbia,69995.0
2380,22140,1,6,2,2,0,2,600,0,BC,59.6,20.7,British Columbia,69995.0
2381,22144,1,5,3,2,0,3,480,525,BC,59.6,20.7,British Columbia,69995.0
2382,22146,1,7,3,2,0,2,450,0,BC,59.6,20.7,British Columbia,69995.0
2383,22148,1,2,6,2,0,2,360,420,BC,59.6,20.7,British Columbia,69995.0
2384,22158,2,5,1,2,0,1,475,505,BC,59.6,20.7,British Columbia,69995.0
2385,22163,2,4,5,2,0,6,480,0,BC,59.6,20.7,British Columbia,69995.0
2386,22166,1,4,1,1,0,1,660,0,BC,59.6,20.7,British Columbia,69995.0
2387,22167,1,3,1,1,2,1,450,620,BC,59.6,20.7,British Columbia,69995.0
2388,22170,1,2,2,2,2,3,570,0,BC,59.6,20.7,British Columbia,69995.0
2389,22186,2,6,1,1,0,5,450,0,BC,59.6,20.7,British Columbia,69995.0
2390,22189,1,1,6,2,0,2,840,0,BC,59.6,20.7,British Columbia,69995.0
2391,22190,1,5,1,2,0,1,510,0,BC,59.6,20.7,British Columbia,69995.0
2392,22195,2,5,1,2,0,1,420,455,BC,59.6,20.7,British Columbia,69995.0
2393,22217,1,2,6,2,0,2,455,480,BC,59.6,20.7,British Columbia,69995.0
2394,22224,1,4,5,1,1,4,420,345,BC,59.6,20.7,British Columbia,69995.0
2395,22230,1,3,1,2,1,1,400,515,BC,59.6,20.7,British Columbia,69995.0
2396,22235,1,3,2,1,2,2,360,60,BC,59.6,20.7,British Columbia,69995.0
2397,22244,1,5,1,2,0,2,465,0,BC,59.6,20.7,British Columbia,69995.0
2398,22261,2,5,5,1,0,1,375,420,BC,59.6,20.7,British Columbia,69995.0
2399,22263,1,5,3,2,0,1,385,555,BC,59.6,20.7,British Columbia,69995.0
2400,22268,1,4,1,1,0,3,590,0,BC,59.6,20.7,British Columbia,69995.0
2401,22271,1,3,1,1,0,6,510,0,BC,59.6,20.7,British Columbia,69995.0
2402,22272,1,2,6,2,0,2,845,495,BC,59.6,20.7,British Columbia,69995.0
2403,22284,1,3,1,1,0,4,470,0,BC,59.6,20.7,British Columbia,69995.0
2404,22289,1,2,1,1,0,1,570,0,BC,59.6,20.7,British Columbia,69995.0
2405,22296,1,3,6,1,0,2,630,0,BC,59.6,20.7,British Columbia,69995.0
2406,22307,1,5,4,1,0,1,520,445,BC,59.6,20.7,British Columbia,69995.0
2407,22320,1,1,6,1,0,2,755,0,BC,59.6,20.7,British Columbia,69995.0
2408,22326,1,5,1,2,0,3,520,0,BC,59.6,20.7,British Columbia,69995.0
2409,22327,1,4,1,2,0,1,460,0,BC,59.6,20.7,British Columbia,69995.0
2410,22329,1,5,6,1,0,2,535,0,BC,59.6,20.7,British Columbia,69995.0
2411,22334,1,5,1,2,0,2,540,0,BC,59.6,20.7,British Columbia,69995.0
2412,22339,1,3,1,2,1,6,480,0,BC,59.6,20.7,British Columbia,69995.0
2413,22343,2,5,6,2,0,2,555,0,BC,59.6,20.7,British Columbia,69995.0
2414,22357,2,6,1,1,0,6,495,0,BC,59.6,20.7,British Columbia,69995.0
2415,22360,2,1,6,2,0,2,405,480,BC,59.6,20.7,British Columbia,69995.0
2416,22369,1,7,1,1,0,1,690,0,BC,59.6,20.7,British Columbia,69995.0
2417,22370,1,4,1,1,0,1,510,0,BC,59.6,20.7,British Columbia,69995.0
2418,22374,1,3,1,1,1,1,600,0,BC,59.6,20.7,British Columbia,69995.0
2419,22387,1,5,1,2,0,2,465,0,BC,59.6,20.7,British Columbia,69995.0
2420,22392,1,5,1,2,0,2,550,505,BC,59.6,20.7,British Columbia,69995.0
2421,22402,1,6,1,1,0,1,300,0,BC,59.6,20.7,British Columbia,69995.0
2422,22424,2,3,1,2,3,1,570,0,BC,59.6,20.7,British Columbia,69995.0
2423,22428,2,4,1,2,0,1,505,465,BC,59.6,20.7,British Columbia,69995.0
2424,22433,1,3,1,1,0,1,135,0,BC,59.6,20.7,British Columbia,69995.0
2425,22442,1,3,2,1,0,4,210,240,BC,59.6,20.7,British Columbia,69995.0
2426,22455,1,6,1,1,0,2,510,0,BC,59.6,20.7,British Columbia,69995.0
2427,22457,1,4,1,1,1,1,570,390,BC,59.6,20.7,British Columbia,69995.0
2428,22458,1,4,1,1,0,2,600,0,BC,59.6,20.7,British Columbia,69995.0
2429,22461,1,4,2,2,0,4,470,350,BC,59.6,20.7,British Columbia,69995.0
2430,22522,1,1,6,2,0,1,705,180,BC,59.6,20.7,British Columbia,69995.0
2431,22528,2,7,1,2,0,4,555,0,BC,59.6,20.7,British Columbia,69995.0
2432,22536,1,4,1,1,0,1,390,775,BC,59.6,20.7,British Columbia,69995.0
2433,22540,2,4,2,1,0,3,480,0,BC,59.6,20.7,British Columbia,69995.0
2434,22554,1,5,3,1,0,1,620,480,BC,59.6,20.7,British Columbia,69995.0
2435,22586,1,1,6,2,0,2,510,0,BC,59.6,20.7,British Columbia,69995.0
2436,22588,1,2,6,2,0,2,655,0,BC,59.6,20.7,British Columbia,69995.0
2437,22603,1,3,2,2,0,1,510,0,BC,59.6,20.7,British Columbia,69995.0
2438,22607,1,5,1,2,0,4,690,0,BC,59.6,20.7,British Columbia,69995.0
2439,22608,2,7,1,2,0,1,425,0,BC,59.6,20.7,British Columbia,69995.0
2440,22615,1,5,1,2,0,2,360,570,BC,59.6,20.7,British Columbia,69995.0
2441,22679,1,5,1,2,0,4,620,0,BC,59.6,20.7,British Columbia,69995.0
2442,22685,1,6,5,2,0,6,600,0,BC,59.6,20.7,British Columbia,69995.0
2443,22690,2,3,3,2,0,3,510,0,BC,59.6,20.7,British Columbia,69995.0
2444,22693,1,6,1,2,0,4,600,0,BC,59.6,20.7,British Columbia,69995.0
2445,22699,1,6,3,2,0,3,420,260,BC,59.6,20.7,British Columbia,69995.0
2446,22705,1,1,6,1,2,3,570,0,BC,59.6,20.7,British Columbia,69995.0
2447,22715,1,5,2,2,0,2,330,0,BC,59.6,20.7,British Columbia,69995.0
2448,22727,1,6,5,2,0,2,795,0,BC,59.6,20.7,British Columbia,69995.0
2449,22741,1,7,3,2,0,6,545,0,BC,59.6,20.7,British Columbia,69995.0
2450,22749,1,3,1,1,2,1,810,0,BC,59.6,20.7,British Columbia,69995.0
2451,22757,1,4,5,1,0,2,390,510,BC,59.6,20.7,British Columbia,69995.0
2452,22763,1,3,1,1,2,1,510,0,BC,59.6,20.7,British Columbia,69995.0
2453,22782,2,5,3,1,0,1,390,0,BC,59.6,20.7,British Columbia,69995.0
2454,22791,1,5,6,2,0,3,635,0,BC,59.6,20.7,British Columbia,69995.0
2455,22799,1,6,5,1,0,6,360,0,BC,59.6,20.7,British Columbia,69995.0
2456,22802,1,6,3,2,0,5,720,0,BC,59.6,20.7,British Columbia,69995.0
2457,22813,2,4,6,2,0,6,480,0,BC,59.6,20.7,British Columbia,69995.0
2458,22819,1,5,1,2,0,1,460,750,BC,59.6,20.7,British Columbia,69995.0
2459,22825,1,5,1,2,0,6,570,510,BC,59.6,20.7,British Columbia,69995.0
2460,22831,1,5,5,2,0,6,540,0,BC,59.6,20.7,British Columbia,69995.0
2461,22832,1,6,1,1,0,3,555,0,BC,59.6,20.7,British Columbia,69995.0
2462,22834,1,3,1,2,0,1,645,0,BC,59.6,20.7,British Columbia,69995.0
2463,22841,1,7,3,2,0,6,540,0,BC,59.6,20.7,British Columbia,69995.0
2464,22845,2,5,1,2,0,2,450,0,BC,59.6,20.7,British Columbia,69995.0
2465,22855,1,7,3,1,0,6,570,0,BC,59.6,20.7,British Columbia,69995.0
2466,22871,2,3,1,2,3,1,655,0,BC,59.6,20.7,British Columbia,69995.0
2467,22882,1,5,1,2,0,2,500,0,BC,59.6,20.7,British Columbia,69995.0
2468,22883,1,3,1,2,2,1,510,380,BC,59.6,20.7,British Columbia,69995.0
